,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
217,Paro,80,BT,1536220092,98,27.43,89.41,50.81,1.59
218,Mugur-Aksy,0,RU,1536220092,31,50.38,90.44,53.24,2.82
219,Shache,80,CN,1536220093,54,38.42,77.24,72.23,12.33
220,Mazagao,24,BR,1536220093,94,-0.12,-51.29,79.07,8.19
221,Esperance,92,TT,1536220094,84,10.24,-61.45,79.79,3.15
222,Tuatapere,0,NZ,1536220094,100,-46.13,167.69,43.52,6.06
223,Nelson Bay,0,AU,1536219000,68,-32.72,152.14,64.4,10.29
224,Rio Gallegos,90,AR,1536217200,93,-51.62,-69.22,41.0,8.05
225,Aquiraz,75,BR,1536217200,78,-3.9,-38.39,78.8,12.75
226,Vienne,0,FR,1536217200,77,45.53,4.87,66.2,3.36
227,Reynosa,40,MX,1536218100,88,26.07,-98.3,82.04,3.38
228,Kobryn,40,BY,1536219000,93,52.21,24.36,62.6,4.47
229,Norman Wells,20,CA,1536217200,65,65.28,-126.83,46.4,4.7
230,Quzhou,36,CN,1536220097,61,28.97,118.86,87.44,4.38
231,Pangody,80,RU,1536220098,97,65.85,74.49,55.31,11.99
232,Zemio,0,CF,1536220098,81,5.02,25.13,84.47,3.71
233,Kirakira,20,SB,1536220098,99,-10.46,161.92,82.85,10.09
234,Eyl,0,SO,1536220099,60,7.98,49.82,84.74,20.94
235,Seoul,0,KR,1536219000,61,37.57,126.98,83.3,11.41
236,Fort Saint James,32,CA,1536220099,91,54.43,-124.25,46.94,2.93
237,Qaanaaq,88,GL,1536220100,100,77.48,-69.36,33.08,3.6
238,Katsuura,75,JP,1536217200,69,33.93,134.5,80.6,9.17
239,Bathsheba,40,BB,1536217200,78,13.22,-59.52,80.6,9.17
240,Aketi,8,CD,1536220101,77,2.74,23.78,84.47,2.93
241,Tiznit,44,MA,1536220102,92,29.7,-9.73,71.69,3.94
242,Panama City,1,US,1536216960,93,30.16,-85.65,75.38,5.82
243,Leningradskiy,0,RU,1536220103,94,69.38,178.42,40.1,16.8
244,Kabo,0,CF,1536220103,96,7.69,18.62,82.85,7.96
245,Chernyshevskiy,76,RU,1536220103,58,63.01,112.47,42.62,10.76
246,Boulder City,1,US,1536218100,29,35.98,-114.83,87.98,5.82
247,Vestmannaeyjar,0,IS,1536217200,87,63.44,-20.27,50.0,18.34
248,Shahrud,0,IR,1536220105,22,36.42,54.97,84.74,6.06
249,East London,75,ZA,1536217200,76,-33.02,27.91,55.4,9.17
250,Myrtle Beach,1,US,1536218100,100,33.7,-78.89,75.92,8.08
251,Ahuimanu,75,US,1536217020,79,21.44,-157.84,80.96,13.87
252,Ilovlya,0,RU,1536217200,20,49.31,43.98,75.2,15.66
253,Ngunguru,92,NZ,1536220107,100,-35.62,174.5,53.69,24.29
254,Safranbolu,75,TR,1536216600,73,41.25,32.69,71.6,4.7
255,General Roca,0,AR,1536217200,48,-39.03,-67.58,44.6,9.17
256,Lander,1,US,1536217800,34,42.83,-108.73,62.06,3.36
257,Canmore,1,CA,1536217200,70,51.09,-115.35,44.6,1.7
258,Samarskoye,8,RU,1536220108,28,46.94,39.69,82.22,26.19
259,Kalmunai,0,LK,1536220109,63,7.42,81.82,91.22,0.69
260,Valparaiso,75,US,1536219300,87,41.47,-87.06,72.68,4.7
261,Knysna,20,ZA,1536217200,54,-34.04,23.05,53.6,10.29
262,Capreol,75,CA,1536217200,87,46.71,-80.92,57.2,11.41
263,Kununurra,0,AU,1536219000,22,-15.77,128.74,98.6,4.7
264,Hisua,75,IN,1536219000,70,24.84,85.42,87.8,11.41
265,Waingapu,0,ID,1536220111,51,-9.65,120.26,84.92,9.42
266,Menongue,64,AO,1536220112,63,-14.66,17.68,70.7,5.73
